session_white_Y,iter,target_level,target_L,recipe,Y_raw,L_raw,Y_fresh,L_fresh,L_raw_norm,L_fresh_norm
37.357,1,0,100.00,"[]",37.357,67.544,NaN,NaN,100.000,NaN
37.357,2,1,99.00,"[(64, 1), (128, 3)]",33.712,64.733,NaN,NaN,96.097,NaN
37.357,3,2,97.90,"[(64, 32), (128, 24)]",38.145,68.127,NaN,NaN,100.000,NaN
37.357,4,3,96.70,"[(64, 32), (128, 16)]",37.809,67.880,NaN,NaN,100.000,NaN
37.357,5,4,96.60,"[(64, 1), (128, 2)]",34.577,65.418,NaN,NaN,97.048,NaN
37.357,6,5,95.60,"[(64, 32), (128, 12)]",37.219,67.441,NaN,NaN,99.858,NaN
37.357,7,6,94.60,"[(64, 32), (128, 10)]",36.634,67.002,NaN,NaN,99.248,NaN
37.357,8,7,94.00,"[(64, 1), (128, 1)]",26.112,58.143,NaN,NaN,86.947,NaN
37.357,9,8,92.80,"[(64, 32), (128, 8)]",35.440,66.090,NaN,NaN,97.982,NaN
37.357,10,9,88.90,"[(64, 1)]",15.430,46.218,NaN,NaN,70.389,NaN
37.357,11,10,88.50,"[(64, 32), (128, 6)]",32.442,63.706,NaN,NaN,94.672,NaN
37.357,12,11,85.80,"[(64, 2), (128, 2)]",28.352,60.206,NaN,NaN,89.811,NaN
37.357,13,12,83.80,"[(64, 32), (128, 5)]",29.039,60.816,NaN,NaN,90.659,NaN
37.357,14,13,76.00,"[(64, 32), (128, 4)]",23.424,55.506,NaN,NaN,83.286,NaN
37.357,15,14,71.80,"[(64, 2), (128, 1)]",13.210,43.079,NaN,NaN,66.030,NaN
37.357,16,15,64.10,"[(64, 32), (128, 3)]",15.649,46.510,NaN,NaN,70.795,NaN
37.357,17,16,63.30,"[(64, 2)]",7.642,33.227,NaN,NaN,52.351,NaN
37.357,18,17,59.40,"[(64, 3), (128, 1)]",8.874,35.741,NaN,NaN,55.842,NaN
37.357,19,18,49.90,"[(64, 3)]",5.572,28.306,NaN,NaN,45.518,NaN
37.357,20,19,47.30,"[(64, 32), (128, 2)]",8.637,35.275,NaN,NaN,55.196,NaN
37.357,21,20,46.20,"[(64, 4)]",5.280,27.517,NaN,NaN,44.423,NaN
37.357,22,21,41.80,"[(64, 5)]",4.731,25.955,NaN,NaN,42.254,NaN
37.357,23,22,38.60,"[(64, 6)]",4.406,24.971,NaN,NaN,40.888,NaN
37.357,24,23,34.60,"[(64, 8)]",4.025,23.754,NaN,NaN,39.199,NaN
37.357,25,24,33.60,"[(64, 32), (128, 1)]",4.687,25.823,NaN,NaN,42.071,NaN
37.357,26,25,31.80,"[(64, 10)]",3.936,23.460,NaN,NaN,38.790,NaN
37.357,27,26,30.90,"[(64, 12)]",3.641,22.446,NaN,NaN,37.382,NaN
37.357,28,27,28.90,"[(64, 16)]",3.369,21.465,NaN,NaN,36.020,NaN
37.357,29,28,27.30,"[(64, 20)]",3.171,20.716,NaN,NaN,34.980,NaN
37.357,30,29,25.60,"[(64, 24)]",3.001,20.049,NaN,NaN,34.053,NaN
37.357,31,30,23.10,"[(64, 32)]",2.466,17.764,NaN,NaN,30.881,NaN
